iter	MAE
387	15514.02873
388	15500.089
389	15487.24858
390	15424.80118
391	15417.00071
392	15391.0984
393	15366.10155
394	15359.23827
395	15346.99802
396	15283.42121
397	15266.93477
398	15204.85008
399	15142.27812
400	15110.25341
401	15068.1859
402	14924.48688
403	14889.95287
404	14801.93209
405	14717.35985
406	14706.33718
407	14694.66067
408	14681.33865
409	14495.47168
410	14348.20739
411	14306.66092
412	14281.2144
413	14237.98503
414	14216.54977
415	14063.69281
416	14047.24842
417	14027.4446
418	13999.66741
419	13879.50252
420	13873.30953
421	13821.81461
422	13804.03599
423	13797.97559
424	13668.85274
425	13652.3048
426	13588.52304
427	13562.88277
428	13527.32157
429	13426.68591
430	13381.6372
431	13350.97426
432	13344.64615
433	13203.90684
434	13185.30996
435	13180.34184
436	13135.39683
437	13124.46548
438	13107.02179
439	13096.98325
440	13062.6523
441	13043.51341
442	12895.29875
443	12890.36482
444	12722.15568
445	12684.99406
446	12661.84878
447	12655.8629
448	12624.72666
449	12608.8283
450	12596.00235
451	12538.71449
452	12528.33503
453	12500.76803
454	12487.32883
455	12452.13449
456	12401.77048
457	12323.27625
458	12285.00234
459	12272.38004
460	12246.91944
461	12210.77194
462	12152.24931
463	12144.58897
464	12077.79181
465	12069.95006
466	12060.11155
467	12037.59587
468	11923.26756
469	11897.41876
470	11844.3773
471	11807.8563
472	11782.64834
473	11761.99241
474	11738.64116
475	11722.21229
476	11710.71081
477	11682.46261
478	11665.44242
479	11617.8554
480	11607.9252
481	11570.0898
482	11559.77404
483	11541.02068
484	11422.28132
485	11393.04103
486	11381.14444
487	11283.18218
488	11273.95859
489	11267.86802
490	11240.61079
491	11206.11799
492	11191.52991
493	11187.49185
494	11162.17254
495	11146.24585
496	11137.97338
497	11106.81562
498	11082.30729
499	10979.39489
500	10882.84379
501	10868.87431
502	10862.49493
503	10852.49357
504	10823.88348
505	10803.03102
506	10694.01718
507	10621.17131
508	10611.50623
509	10602.98163
510	10583.88793
511	10573.46501
512	10567.71668
513	10534.80618
514	10462.42994
515	10458.38599
516	10357.69613
517	10355.60992
518	10339.69716
519	10326.97639
520	10304.87775
521	10294.21331
522	10262.34711
523	10240.80876
524	10223.77396
525	10208.3103
526	10196.71634
527	10179.57397
528	10149.46045
529	10145.27809
530	10143.09902
531	10134.60477
532	10125.4979
533	10076.68968
534	10058.55032
535	10047.2422
536	10039.45474
537	10031.95212
538	10021.94026
539	10010.59265
540	10007.65947
541	9993.926238
542	9986.583038
543	9981.301347
544	9958.977899
545	9942.956104
546	9922.990897
547	9905.905369
548	9881.203038
549	9861.728042
550	9856.478839
551	9853.056956
552	9850.106868
553	9833.255892
554	9831.480548
555	9815.210425
556	9803.123164
557	9783.734629
558	9707.789739
559	9695.065377
560	9692.534966
561	9687.896191
562	9669.643661
563	9664.512678
564	9656.556866
565	9649.314933
566	9632.230222
567	9587.067479
568	9581.063361
569	9547.850573
570	9544.588302
571	9537.556628
572	9528.473467
573	9526.639398
574	9479.134322
575	9461.920132
576	9458.624403
577	9441.873633
578	9435.162636
579	9430.963945
580	9424.15728
581	9420.749163
582	9418.407753
583	9412.364812
584	9394.010818
585	9343.274543
586	9220.25113
587	9195.753734
588	9182.354455
589	9154.438259
590	9151.703818
591	9147.44761
592	9069.980031
593	8981.978545
594	8979.4927
595	8965.147281
596	8946.750099
597	8917.759868
598	8891.64687
599	8837.313601
600	8835.456791
601	8833.70528
602	8821.01615
603	8806.534501
604	8797.162771
605	8795.161962
606	8790.486517
607	8758.549258
608	8740.168936
609	8733.00016
610	8719.07635
611	8710.408608
612	8690.82287
613	8689.845112
614	8682.583168
615	8666.989993
616	8660.37522
617	8659.208266
618	8650.764567
619	8645.575488
620	8640.762693
621	8569.809184
622	8566.017765
623	8564.064601
624	8563.105258
625	8544.752996
626	8539.456283
627	8520.467285
628	8476.710901
629	8375.357388
630	8372.779666
631	8370.907783
632	8368.018732
633	8364.040563
634	8359.795523
635	8345.185965
636	8333.32473
637	8329.952759
638	8319.80299
639	8314.663937
640	8308.701996
641	8306.416697
642	8304.356919
643	8222.72697
644	8220.189086
645	8217.499528
646	8214.664326
647	8203.778258
648	8198.43124
649	8196.276277
650	8195.085554
651	8166.126401
652	8164.520186
653	8121.743939
654	8116.252652
655	8103.296706
656	8033.297897
657	8021.700967
658	8016.519952
659	8005.141351
660	7993.183147
661	7896.570242
662	7889.201133
663	7878.943482
664	7877.358591
665	7869.581202
666	7866.96748
667	7859.163199
668	7856.59635
669	7844.087004
670	7840.739294
671	7834.613453
672	7828.203728
673	7824.243568
674	7766.095648
675	7764.372892
676	7761.462258
677	7747.74192
678	7744.080664
679	7736.586989
680	7728.649341
681	7727.553372
682	7714.169902
683	7708.080562
684	7705.535365
685	7703.853436
686	7702.262217
687	7695.141862
688	7625.53844
689	7624.5686
690	7621.785188
691	7617.688461
692	7616.876181
693	7518.03254
694	7457.714635
695	7435.070053
696	7427.61692
697	7425.66293
698	7417.956306
699	7400.762057
700	7398.281677
701	7394.287891
702	7393.623847
703	7383.468978
704	7369.498848
705	7368.587287
706	7359.133696
707	7350.793633
708	7349.690222
709	7295.137958
710	7211.819276
711	7208.319788
712	7146.731019
713	7143.804359
714	7139.021935
715	7134.357664
716	7133.794804
717	7132.58701
718	7123.016773
719	7119.401943
720	7115.537547
721	7110.569711
722	7103.933552
723	7102.096181
724	7093.663963
725	7084.846727
726	7082.181579
727	7046.915256
728	7040.619708
729	7032.664663
730	7029.972898
731	7027.979835
732	7025.411153
733	7023.63512
734	7020.190144
735	6963.809805
736	6913.542612
737	6898.015371
738	6892.442714
739	6887.572202
740	6884.259767
741	6867.362869
742	6856.348613
743	6826.20367
744	6822.889752
745	6814.841395
746	6814.212179
747	6793.122711
748	6743.206194
749	6737.160386
750	6733.11289
751	6687.564731
752	6684.81527
753	6544.630663
754	6543.14231
755	6533.158273
756	6449.814673
757	6444.65624
758	6443.189346
759	6441.106564
760	6439.985471
761	6434.437076
762	6425.882415
763	6420.142455
764	6418.255769
765	6416.581417
766	6413.786727
767	6349.00896
768	6336.035565
769	6290.120593
770	6288.459141
771	6286.004946
772	6266.096934
773	6245.72039
774	6241.336432
775	6239.817197
776	6237.245845
777	6235.553154
778	6234.083632
779	6229.382101
780	6227.2745
781	6219.694215
782	6218.756029
783	6216.600398
784	6214.560238
785	6213.372533
786	6212.381403
787	6211.693373
788	6210.834366
789	6207.205488
790	6204.790169
791	6199.185955
792	6195.988475
793	6195.810799
794	6184.953942
795	6182.872092
796	6181.714201
797	6179.778667
798	6157.95903
799	6149.141943
